fir_id,date_filed,police_station,district,crime_type,area,description,status,section_of_law
FIR-2025-00012,2025-10-01,Mangaluru North PS,Mangaluru,Fraud,Hampankatta,Complainant defrauded of Rs. 150000 in a real-estate advance scheme operating in Hampankatta.,Under Investigation,IPC 420
FIR-2025-00013,2025-02-01,Cubbon Park PS,Bengaluru Urban,Theft,Koramangala,Complainant reported theft of a bicycle from a shopping complex in Koramangala. Estimated value Rs. 40000.,Closed,IPC 379
FIR-2025-00014,2025-02-23,Mangaluru North PS,Mangaluru,Cybercrime,Hampankatta,Complainant reported online fraud of Rs. 5000 via a fake UPI payment link. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00015,2026-03-17,Cubbon Park PS,Bengaluru Urban,Cybercrime,Jayanagar 4th Block,Complainant reported online fraud of Rs. 150000 via a phishing email. Transaction traced to unknown account.,Open,IT Act 66
FIR-2025-00016,2025-09-19,Jayanagar PS,Bengaluru Urban,Theft,Indiranagar,Complainant reported theft of cash from the bus stand in Indiranagar. Estimated value Rs. 5000.,Closed,IPC 379
FIR-2025-00017,2025-03-15,Lashkar PS,Mysuru,Fraud,Kuvempunagar,Complainant defrauded of Rs. 5000 in a chit fund scheme operating in Kuvempunagar.,Closed,IPC 420
FIR-2025-00018,2025-11-29,Indiranagar PS,Bengaluru Urban,Theft,MG Road,Complainant reported theft of a bicycle from a residential building in MG Road. Estimated value Rs. 300000.,Under Investigation,IPC 379
FIR-2025-00019,2025-12-14,Devaraja PS,Mysuru,Assault,Kuvempunagar,Physical altercation reported near a shopping complex in Kuvempunagar. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00020,2025-06-06,Cubbon Park PS,Bengaluru Urban,Theft,Malleshwaram,Complainant reported theft of a laptop from a parking lot in Malleshwaram. Estimated value Rs. 40000.,Under Investigation,IPC 379
FIR-2025-00021,2025-02-27,Jayanagar PS,Bengaluru Urban,Robbery,Jayanagar 4th Block,Armed robbery reported at the bus stand in Jayanagar 4th Block. Cash and valuables worth Rs. 25000 taken.,Open,IPC 392
FIR-2025-00022,2026-04-19,Hubballi City PS,Hubballi-Dharwad,Fraud,Dharwad Market,Complainant defrauded of Rs. 150000 in a real-estate advance scheme operating in Dharwad Market.,Under Investigation,IPC 420
FIR-2025-00023,2026-06-01,Panambur PS,Mangaluru,Fraud,Hampankatta,Complainant defrauded of Rs. 12000 in a loan processing fee scheme operating in Hampankatta.,Closed,IPC 420
FIR-2025-00024,2025-02-23,Jayanagar PS,Bengaluru Urban,Burglary,Koramangala,House break-in reported in Koramangala during night hours. Jewellery and cash worth Rs. 5000 stolen.,Under Investigation,IPC 457
FIR-2025-00025,2026-02-06,Indiranagar PS,Bengaluru Urban,Assault,Koramangala,Physical altercation reported near a parking lot in Koramangala. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00026,2026-01-07,Lashkar PS,Mysuru,Cybercrime,Devaraja Mohalla,Complainant reported online fraud of Rs. 25000 via a phishing email. Transaction traced to unknown account.,Open,IT Act 66
FIR-2025-00027,2025-12-11,Panambur PS,Mangaluru,Cybercrime,Hampankatta,Complainant reported online fraud of Rs. 40000 via an OTP scam call. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00028,2025-10-19,VV Puram PS,Mysuru,Theft,Hebbal Industrial Area,Complainant reported theft of gold ornaments from a shopping complex in Hebbal Industrial Area. Estimated value Rs. 75000.,Under Investigation,IPC 379
FIR-2025-00029,2026-01-27,VV Puram PS,Mysuru,Cybercrime,Kuvempunagar,Complainant reported online fraud of Rs. 12000 via an OTP scam call. Transaction traced to unknown account.,Closed,IT Act 66
FIR-2025-00030,2025-10-19,Devaraja PS,Mysuru,Theft,Devaraja Mohalla,Complainant reported theft of a laptop from the market in Devaraja Mohalla. Estimated value Rs. 40000.,Closed,IPC 379
FIR-2025-00031,2025-08-30,Whitefield PS,Bengaluru Urban,Assault,Jayanagar 4th Block,Physical altercation reported near the market in Jayanagar 4th Block. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00032,2025-05-23,Whitefield PS,Bengaluru Urban,Fraud,Koramangala,Complainant defrauded of Rs. 5000 in a chit fund scheme operating in Koramangala.,Closed,IPC 420
FIR-2025-00033,2025-09-01,Lashkar PS,Mysuru,Assault,Kuvempunagar,Physical altercation reported near the bus stand in Kuvempunagar. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00034,2025-10-26,Lashkar PS,Mysuru,Theft,Lashkar Mohalla,Complainant reported theft of a mobile phone from the railway station in Lashkar Mohalla. Estimated value Rs. 25000.,Closed,IPC 379
FIR-2025-00035,2026-02-04,Lashkar PS,Mysuru,Fraud,Devaraja Mohalla,Complainant defrauded of Rs. 40000 in a real-estate advance scheme operating in Devaraja Mohalla.,Under Investigation,IPC 420
FIR-2025-00036,2025-05-17,Mangaluru North PS,Mangaluru,Robbery,Panambur,Armed robbery reported at the railway station in Panambur. Cash and valuables worth Rs. 25000 taken.,Open,IPC 392
FIR-2025-00037,2025-07-26,Mangaluru North PS,Mangaluru,Cybercrime,Panambur,Complainant reported online fraud of Rs. 25000 via a fraudulent job portal. Transaction traced to unknown account.,Closed,IT Act 66
FIR-2025-00038,2025-12-06,Jayanagar PS,Bengaluru Urban,Assault,MG Road,Physical altercation reported near the market in MG Road. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00039,2025-10-01,Cubbon Park PS,Bengaluru Urban,Vehicle Theft,Malleshwaram,"Two-wheeler bearing registration KA-21-BK-6372 stolen from parking area near the bus stand, Malleshwaram.",Under Investigation,IPC 379A
FIR-2025-00040,2025-06-20,Whitefield PS,Bengaluru Urban,Robbery,Whitefield,Armed robbery reported at a residential building in Whitefield. Cash and valuables worth Rs. 5000 taken.,Under Investigation,IPC 392
FIR-2025-00041,2025-05-27,Panambur PS,Mangaluru,Robbery,Hampankatta,Armed robbery reported at the bus stand in Hampankatta. Cash and valuables worth Rs. 12000 taken.,Closed,IPC 392
FIR-2025-00042,2026-01-15,Jayanagar PS,Bengaluru Urban,Theft,Whitefield,Complainant reported theft of gold ornaments from the bus stand in Whitefield. Estimated value Rs. 75000.,Closed,IPC 379
FIR-2025-00043,2026-02-01,Yeshwanthpur PS,Bengaluru Urban,Theft,Malleshwaram,Complainant reported theft of a mobile phone from the market in Malleshwaram. Estimated value Rs. 300000.,Open,IPC 379
FIR-2025-00044,2025-03-31,Dharwad PS,Hubballi-Dharwad,Cybercrime,Dharwad Market,Complainant reported online fraud of Rs. 5000 via a fraudulent job portal. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00045,2025-08-31,Whitefield PS,Bengaluru Urban,Theft,Indiranagar,Complainant reported theft of a mobile phone from the market in Indiranagar. Estimated value Rs. 75000.,Under Investigation,IPC 379
FIR-2025-00046,2026-02-24,Hubballi City PS,Hubballi-Dharwad,Burglary,Dharwad Market,House break-in reported in Dharwad Market during night hours. Jewellery and cash worth Rs. 150000 stolen.,Closed,IPC 457
FIR-2025-00047,2025-05-08,Yeshwanthpur PS,Bengaluru Urban,Cybercrime,MG Road,Complainant reported online fraud of Rs. 12000 via an OTP scam call. Transaction traced to unknown account.,Closed,IT Act 66
FIR-2025-00048,2025-05-09,Panambur PS,Mangaluru,Theft,Panambur,Complainant reported theft of cash from the railway station in Panambur. Estimated value Rs. 75000.,Closed,IPC 379
FIR-2025-00049,2025-03-25,Devaraja PS,Mysuru,Fraud,Devaraja Mohalla,Complainant defrauded of Rs. 150000 in a loan processing fee scheme operating in Devaraja Mohalla.,Open,IPC 420
FIR-2025-00050,2025-11-01,Dharwad PS,Hubballi-Dharwad,Cybercrime,Dharwad Market,Complainant reported online fraud of Rs. 5000 via an OTP scam call. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00051,2025-12-20,Whitefield PS,Bengaluru Urban,Fraud,Jayanagar 4th Block,Complainant defrauded of Rs. 75000 in a real-estate advance scheme operating in Jayanagar 4th Block.,Under Investigation,IPC 420
FIR-2025-00052,2026-03-05,Indiranagar PS,Bengaluru Urban,Theft,Whitefield,Complainant reported theft of a laptop from the market in Whitefield. Estimated value Rs. 75000.,Under Investigation,IPC 379
FIR-2025-00053,2026-02-07,Dharwad PS,Hubballi-Dharwad,Cybercrime,Vidyanagar,Complainant reported online fraud of Rs. 75000 via a fraudulent job portal. Transaction traced to unknown account.,Open,IT Act 66
FIR-2025-00054,2025-09-28,Jayanagar PS,Bengaluru Urban,Theft,Indiranagar,Complainant reported theft of gold ornaments from the market in Indiranagar. Estimated value Rs. 5000.,Open,IPC 379
FIR-2025-00055,2025-05-02,Devaraja PS,Mysuru,Burglary,Kuvempunagar,House break-in reported in Kuvempunagar during night hours. Jewellery and cash worth Rs. 25000 stolen.,Under Investigation,IPC 457
FIR-2025-00056,2025-12-08,Whitefield PS,Bengaluru Urban,Theft,Koramangala,Complainant reported theft of a bicycle from a residential building in Koramangala. Estimated value Rs. 12000.,Closed,IPC 379
FIR-2025-00057,2026-06-04,Panambur PS,Mangaluru,Assault,Panambur,Physical altercation reported near a residential building in Panambur. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00058,2026-05-01,Dharwad PS,Hubballi-Dharwad,Robbery,Vidyanagar,Armed robbery reported at the railway station in Vidyanagar. Cash and valuables worth Rs. 12000 taken.,Open,IPC 392
FIR-2025-00059,2026-03-28,Dharwad PS,Hubballi-Dharwad,Theft,Vidyanagar,Complainant reported theft of gold ornaments from a shopping complex in Vidyanagar. Estimated value Rs. 40000.,Under Investigation,IPC 379
FIR-2025-00060,2026-06-23,Lashkar PS,Mysuru,Chain Snatching,Hebbal Industrial Area,"Gold chain snatched from complainant by two persons on a motorcycle near a shopping complex, Hebbal Industrial Area.",Closed,IPC 356
FIR-2025-00061,2025-10-23,Indiranagar PS,Bengaluru Urban,Assault,Jayanagar 4th Block,Physical altercation reported near the market in Jayanagar 4th Block. Complainant sustained minor injuries.,Closed,IPC 323
FIR-2025-00062,2025-02-13,Dharwad PS,Hubballi-Dharwad,Fraud,Old Hubballi,Complainant defrauded of Rs. 40000 in a loan processing fee scheme operating in Old Hubballi.,Open,IPC 420
FIR-2025-00063,2025-02-21,VV Puram PS,Mysuru,Robbery,Lashkar Mohalla,Armed robbery reported at a shopping complex in Lashkar Mohalla. Cash and valuables worth Rs. 150000 taken.,Open,IPC 392
FIR-2025-00064,2026-02-21,Panambur PS,Mangaluru,Theft,Kadri,Complainant reported theft of gold ornaments from a residential building in Kadri. Estimated value Rs. 150000.,Under Investigation,IPC 379
FIR-2025-00065,2025-06-29,Whitefield PS,Bengaluru Urban,Burglary,MG Road,House break-in reported in MG Road during night hours. Jewellery and cash worth Rs. 300000 stolen.,Open,IPC 457
FIR-2025-00066,2025-10-19,Lashkar PS,Mysuru,Vehicle Theft,Kuvempunagar,"Two-wheeler bearing registration KA-18-DK-6417 stolen from parking area near the railway station, Kuvempunagar.",Open,IPC 379A
FIR-2025-00067,2025-01-15,Jayanagar PS,Bengaluru Urban,Theft,Indiranagar,Complainant reported theft of cash from the railway station in Indiranagar. Estimated value Rs. 150000.,Under Investigation,IPC 379
FIR-2025-00068,2026-05-04,Jayanagar PS,Bengaluru Urban,Theft,Indiranagar,Complainant reported theft of a laptop from the bus stand in Indiranagar. Estimated value Rs. 25000.,Under Investigation,IPC 379
FIR-2025-00069,2025-08-30,Devaraja PS,Mysuru,Theft,Kuvempunagar,Complainant reported theft of a mobile phone from a residential building in Kuvempunagar. Estimated value Rs. 25000.,Under Investigation,IPC 379
FIR-2025-00070,2025-06-06,Whitefield PS,Bengaluru Urban,Chain Snatching,Whitefield,"Gold chain snatched from complainant by two persons on a motorcycle near the market, Whitefield.",Under Investigation,IPC 356
FIR-2025-00071,2025-03-05,Panambur PS,Mangaluru,Theft,Hampankatta,Complainant reported theft of a bicycle from a shopping complex in Hampankatta. Estimated value Rs. 75000.,Closed,IPC 379
FIR-2025-00072,2025-02-26,Whitefield PS,Bengaluru Urban,Vehicle Theft,Whitefield,"Two-wheeler bearing registration KA-36-HN-1356 stolen from parking area near the railway station, Whitefield.",Under Investigation,IPC 379A
FIR-2025-00073,2025-02-16,Kadri PS,Mangaluru,Burglary,Hampankatta,House break-in reported in Hampankatta during night hours. Jewellery and cash worth Rs. 5000 stolen.,Under Investigation,IPC 457
FIR-2025-00074,2026-01-19,Kadri PS,Mangaluru,Burglary,Surathkal,House break-in reported in Surathkal during night hours. Jewellery and cash worth Rs. 40000 stolen.,Closed,IPC 457
FIR-2025-00075,2025-01-04,Cubbon Park PS,Bengaluru Urban,Theft,Indiranagar,Complainant reported theft of cash from a residential building in Indiranagar. Estimated value Rs. 150000.,Under Investigation,IPC 379
FIR-2025-00076,2025-04-26,Cubbon Park PS,Bengaluru Urban,Vehicle Theft,Koramangala,"Two-wheeler bearing registration KA-14-BK-1550 stolen from parking area near the railway station, Koramangala.",Under Investigation,IPC 379A
FIR-2025-00077,2025-02-15,Lashkar PS,Mysuru,Vehicle Theft,Lashkar Mohalla,"Two-wheeler bearing registration KA-09-EM-6224 stolen from parking area near a shopping complex, Lashkar Mohalla.",Under Investigation,IPC 379A
FIR-2025-00078,2025-11-06,Mangaluru North PS,Mangaluru,Fraud,Kadri,Complainant defrauded of Rs. 40000 in a real-estate advance scheme operating in Kadri.,Open,IPC 420
FIR-2025-00079,2026-06-22,Jayanagar PS,Bengaluru Urban,Robbery,Whitefield,Armed robbery reported at a residential building in Whitefield. Cash and valuables worth Rs. 12000 taken.,Under Investigation,IPC 392
FIR-2025-00080,2026-02-27,Kadri PS,Mangaluru,Fraud,Hampankatta,Complainant defrauded of Rs. 12000 in a fake investment scheme operating in Hampankatta.,Closed,IPC 420
FIR-2025-00081,2025-02-22,Kadri PS,Mangaluru,Theft,Kadri,Complainant reported theft of gold ornaments from a parking lot in Kadri. Estimated value Rs. 75000.,Closed,IPC 379
FIR-2025-00082,2025-08-05,Indiranagar PS,Bengaluru Urban,Chain Snatching,MG Road,"Gold chain snatched from complainant by two persons on a motorcycle near a parking lot, MG Road.",Under Investigation,IPC 356
FIR-2025-00083,2025-11-12,Kadri PS,Mangaluru,Assault,Panambur,Physical altercation reported near the railway station in Panambur. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00084,2025-05-30,Cubbon Park PS,Bengaluru Urban,Cybercrime,Indiranagar,Complainant reported online fraud of Rs. 75000 via a phishing email. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00085,2025-09-21,Kadri PS,Mangaluru,Cybercrime,Panambur,Complainant reported online fraud of Rs. 12000 via a fraudulent job portal. Transaction traced to unknown account.,Closed,IT Act 66
FIR-2025-00086,2025-02-19,Hubballi City PS,Hubballi-Dharwad,Cybercrime,Vidyanagar,Complainant reported online fraud of Rs. 300000 via an OTP scam call. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00087,2026-05-10,Whitefield PS,Bengaluru Urban,Robbery,Koramangala,Armed robbery reported at the bus stand in Koramangala. Cash and valuables worth Rs. 75000 taken.,Under Investigation,IPC 392
FIR-2025-00088,2025-04-20,Devaraja PS,Mysuru,Assault,Lashkar Mohalla,Physical altercation reported near a shopping complex in Lashkar Mohalla. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00089,2025-08-20,Dharwad PS,Hubballi-Dharwad,Cybercrime,Gokul Road,Complainant reported online fraud of Rs. 300000 via a fake UPI payment link. Transaction traced to unknown account.,Open,IT Act 66
FIR-2025-00090,2026-03-21,Jayanagar PS,Bengaluru Urban,Theft,Whitefield,Complainant reported theft of a bicycle from the bus stand in Whitefield. Estimated value Rs. 75000.,Closed,IPC 379
FIR-2025-00091,2025-07-03,Lashkar PS,Mysuru,Assault,Devaraja Mohalla,Physical altercation reported near a shopping complex in Devaraja Mohalla. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00092,2026-01-29,VV Puram PS,Mysuru,Fraud,Kuvempunagar,Complainant defrauded of Rs. 150000 in a real-estate advance scheme operating in Kuvempunagar.,Closed,IPC 420
FIR-2025-00093,2026-02-11,Jayanagar PS,Bengaluru Urban,Burglary,Malleshwaram,House break-in reported in Malleshwaram during night hours. Jewellery and cash worth Rs. 25000 stolen.,Open,IPC 457
FIR-2025-00094,2025-09-10,VV Puram PS,Mysuru,Assault,Kuvempunagar,Physical altercation reported near the bus stand in Kuvempunagar. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00095,2026-01-04,Jayanagar PS,Bengaluru Urban,Vehicle Theft,Whitefield,"Two-wheeler bearing registration KA-29-GK-1430 stolen from parking area near a shopping complex, Whitefield.",Open,IPC 379A
FIR-2025-00096,2026-01-30,Devaraja PS,Mysuru,Robbery,Kuvempunagar,Armed robbery reported at a residential building in Kuvempunagar. Cash and valuables worth Rs. 40000 taken.,Open,IPC 392
FIR-2025-00097,2025-06-21,Whitefield PS,Bengaluru Urban,Cybercrime,MG Road,Complainant reported online fraud of Rs. 25000 via a phishing email. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00098,2025-01-07,Whitefield PS,Bengaluru Urban,Theft,Jayanagar 4th Block,Complainant reported theft of cash from the railway station in Jayanagar 4th Block. Estimated value Rs. 40000.,Under Investigation,IPC 379
FIR-2025-00099,2025-07-01,Dharwad PS,Hubballi-Dharwad,Theft,Old Hubballi,Complainant reported theft of cash from the market in Old Hubballi. Estimated value Rs. 150000.,Under Investigation,IPC 379
FIR-2025-00100,2025-01-28,Dharwad PS,Hubballi-Dharwad,Theft,Gokul Road,Complainant reported theft of a laptop from a residential building in Gokul Road. Estimated value Rs. 300000.,Under Investigation,IPC 379
FIR-2025-00101,2026-03-10,Whitefield PS,Bengaluru Urban,Robbery,Koramangala,Armed robbery reported at a residential building in Koramangala. Cash and valuables worth Rs. 75000 taken.,Closed,IPC 392
FIR-2025-00102,2025-04-22,Mangaluru North PS,Mangaluru,Robbery,Hampankatta,Armed robbery reported at a shopping complex in Hampankatta. Cash and valuables worth Rs. 150000 taken.,Open,IPC 392
FIR-2025-00103,2025-08-15,Whitefield PS,Bengaluru Urban,Cybercrime,Malleshwaram,Complainant reported online fraud of Rs. 40000 via an OTP scam call. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00104,2025-12-23,Dharwad PS,Hubballi-Dharwad,Theft,Gokul Road,Complainant reported theft of cash from a residential building in Gokul Road. Estimated value Rs. 300000.,Closed,IPC 379
FIR-2025-00105,2025-04-28,Cubbon Park PS,Bengaluru Urban,Theft,MG Road,Complainant reported theft of cash from a parking lot in MG Road. Estimated value Rs. 5000.,Under Investigation,IPC 379
FIR-2025-00106,2025-07-08,Hubballi City PS,Hubballi-Dharwad,Theft,Dharwad Market,Complainant reported theft of gold ornaments from a residential building in Dharwad Market. Estimated value Rs. 5000.,Closed,IPC 379
FIR-2025-00107,2025-04-15,Yeshwanthpur PS,Bengaluru Urban,Burglary,MG Road,House break-in reported in MG Road during night hours. Jewellery and cash worth Rs. 25000 stolen.,Closed,IPC 457
FIR-2025-00108,2025-04-27,Jayanagar PS,Bengaluru Urban,Assault,Whitefield,Physical altercation reported near a residential building in Whitefield. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00109,2025-05-25,Yeshwanthpur PS,Bengaluru Urban,Theft,Koramangala,Complainant reported theft of gold ornaments from a residential building in Koramangala. Estimated value Rs. 75000.,Under Investigation,IPC 379
FIR-2025-00110,2026-05-17,Lashkar PS,Mysuru,Chain Snatching,Lashkar Mohalla,"Gold chain snatched from complainant by two persons on a motorcycle near a shopping complex, Lashkar Mohalla.",Open,IPC 356
FIR-2025-00111,2026-02-23,Panambur PS,Mangaluru,Chain Snatching,Surathkal,"Gold chain snatched from complainant by two persons on a motorcycle near a residential building, Surathkal.",Open,IPC 356
FIR-2025-00112,2026-04-14,Yeshwanthpur PS,Bengaluru Urban,Cybercrime,Indiranagar,Complainant reported online fraud of Rs. 75000 via a fake UPI payment link. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00113,2025-11-01,Hubballi City PS,Hubballi-Dharwad,Theft,Gokul Road,Complainant reported theft of gold ornaments from the market in Gokul Road. Estimated value Rs. 25000.,Closed,IPC 379
FIR-2025-00114,2025-06-19,VV Puram PS,Mysuru,Assault,Hebbal Industrial Area,Physical altercation reported near a shopping complex in Hebbal Industrial Area. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00115,2026-06-11,Hubballi City PS,Hubballi-Dharwad,Assault,Old Hubballi,Physical altercation reported near a residential building in Old Hubballi. Complainant sustained minor injuries.,Closed,IPC 323
FIR-2025-00116,2026-05-17,Mangaluru North PS,Mangaluru,Burglary,Surathkal,House break-in reported in Surathkal during night hours. Jewellery and cash worth Rs. 25000 stolen.,Under Investigation,IPC 457
FIR-2025-00117,2026-04-11,Whitefield PS,Bengaluru Urban,Vehicle Theft,Jayanagar 4th Block,"Two-wheeler bearing registration KA-41-FK-9756 stolen from parking area near the railway station, Jayanagar 4th Block.",Under Investigation,IPC 379A
FIR-2025-00118,2025-10-02,Dharwad PS,Hubballi-Dharwad,Fraud,Dharwad Market,Complainant defrauded of Rs. 75000 in a loan processing fee scheme operating in Dharwad Market.,Open,IPC 420
FIR-2025-00119,2025-06-11,Kadri PS,Mangaluru,Cybercrime,Hampankatta,Complainant reported online fraud of Rs. 40000 via an OTP scam call. Transaction traced to unknown account.,Open,IT Act 66
FIR-2025-00120,2025-06-19,Cubbon Park PS,Bengaluru Urban,Theft,Koramangala,Complainant reported theft of gold ornaments from a parking lot in Koramangala. Estimated value Rs. 25000.,Open,IPC 379
FIR-2025-00121,2026-04-01,Cubbon Park PS,Bengaluru Urban,Robbery,Malleshwaram,Armed robbery reported at a parking lot in Malleshwaram. Cash and valuables worth Rs. 25000 taken.,Open,IPC 392
FIR-2025-00122,2025-11-17,Jayanagar PS,Bengaluru Urban,Fraud,MG Road,Complainant defrauded of Rs. 40000 in a fake investment scheme operating in MG Road.,Under Investigation,IPC 420
FIR-2025-00123,2026-03-30,Indiranagar PS,Bengaluru Urban,Burglary,Whitefield,House break-in reported in Whitefield during night hours. Jewellery and cash worth Rs. 12000 stolen.,Open,IPC 457
FIR-2025-00124,2025-01-28,VV Puram PS,Mysuru,Theft,Kuvempunagar,Complainant reported theft of cash from a shopping complex in Kuvempunagar. Estimated value Rs. 75000.,Under Investigation,IPC 379
FIR-2025-00125,2026-06-25,Cubbon Park PS,Bengaluru Urban,Robbery,MG Road,Armed robbery reported at the market in MG Road. Cash and valuables worth Rs. 12000 taken.,Open,IPC 392
FIR-2025-00126,2025-03-03,Whitefield PS,Bengaluru Urban,Theft,MG Road,Complainant reported theft of a bicycle from the market in MG Road. Estimated value Rs. 150000.,Under Investigation,IPC 379
FIR-2025-00127,2026-06-08,Indiranagar PS,Bengaluru Urban,Theft,MG Road,Complainant reported theft of a laptop from the railway station in MG Road. Estimated value Rs. 25000.,Open,IPC 379
FIR-2025-00128,2025-11-13,Hubballi City PS,Hubballi-Dharwad,Theft,Vidyanagar,Complainant reported theft of a mobile phone from the bus stand in Vidyanagar. Estimated value Rs. 150000.,Under Investigation,IPC 379
FIR-2025-00129,2025-05-10,Panambur PS,Mangaluru,Theft,Panambur,Complainant reported theft of cash from a parking lot in Panambur. Estimated value Rs. 5000.,Open,IPC 379
FIR-2025-00130,2026-05-24,Kadri PS,Mangaluru,Cybercrime,Hampankatta,Complainant reported online fraud of Rs. 5000 via a phishing email. Transaction traced to unknown account.,Closed,IT Act 66
FIR-2025-00131,2025-02-15,Devaraja PS,Mysuru,Theft,Devaraja Mohalla,Complainant reported theft of a laptop from the bus stand in Devaraja Mohalla. Estimated value Rs. 40000.,Under Investigation,IPC 379
FIR-2025-00132,2025-08-18,Dharwad PS,Hubballi-Dharwad,Burglary,Dharwad Market,House break-in reported in Dharwad Market during night hours. Jewellery and cash worth Rs. 150000 stolen.,Under Investigation,IPC 457
FIR-2025-00133,2026-02-15,Hubballi City PS,Hubballi-Dharwad,Theft,Vidyanagar,Complainant reported theft of gold ornaments from the market in Vidyanagar. Estimated value Rs. 300000.,Open,IPC 379
FIR-2025-00134,2026-04-21,Lashkar PS,Mysuru,Assault,Lashkar Mohalla,Physical altercation reported near a residential building in Lashkar Mohalla. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00135,2025-12-10,Cubbon Park PS,Bengaluru Urban,Fraud,MG Road,Complainant defrauded of Rs. 150000 in a chit fund scheme operating in MG Road.,Closed,IPC 420
FIR-2025-00136,2025-04-06,Hubballi City PS,Hubballi-Dharwad,Theft,Old Hubballi,Complainant reported theft of a laptop from the railway station in Old Hubballi. Estimated value Rs. 40000.,Open,IPC 379
FIR-2025-00137,2026-03-22,Panambur PS,Mangaluru,Theft,Hampankatta,Complainant reported theft of a laptop from a shopping complex in Hampankatta. Estimated value Rs. 25000.,Under Investigation,IPC 379
FIR-2025-00138,2025-04-22,Indiranagar PS,Bengaluru Urban,Vehicle Theft,Indiranagar,"Two-wheeler bearing registration KA-27-BP-4401 stolen from parking area near a shopping complex, Indiranagar.",Under Investigation,IPC 379A
FIR-2025-00139,2025-06-11,Jayanagar PS,Bengaluru Urban,Fraud,MG Road,Complainant defrauded of Rs. 12000 in a fake investment scheme operating in MG Road.,Under Investigation,IPC 420
FIR-2025-00140,2025-02-01,Lashkar PS,Mysuru,Theft,Lashkar Mohalla,Complainant reported theft of gold ornaments from the railway station in Lashkar Mohalla. Estimated value Rs. 150000.,Open,IPC 379
